matchId,ouid,foul,injury,redCards,yellowCards,dribble,cornerKick,offsideCount,shootTotal,effectiveShootTotal,goalTotal,shootPenaltyKick,goalPenaltyKick,passTry,passSuccess,shortPassTry,shortPassSuccess,longPassTry,longPassSuccess,throughPassTry,throughPassSuccess,tackleTry,tackleSuccess,blockTry,blockSuccess,possession,averageRating,matchResult,weekend,weekday
67e5ab6c26956677381da20f,00bb68e0fa9a9f7cb1665b32dd8069b7,1.0,0.0,0.0,0.0,64.0,3.0,0.0,3.0,2.0,2.0,0.0,0.0,108.0,92.0,80.0,71.0,8.0,4.0,16.0,16.0,17.0,9.0,5.0,1.0,44.0,3.633329999999999,패,평일,Thursday
67e5ab6c26956677381da20f,b732daf0b96fc9256262fb36cb72c1bc,0.0,0.0,0.0,0.0,75.0,1.0,1.0,14.0,9.0,5.0,0.0,0.0,97.0,88.0,59.0,56.0,8.0,5.0,26.0,25.0,13.0,8.0,5.0,0.0,56.0,4.5944400000000005,승,평일,Thursday
67e5ab6d0b020281e49f1496,7fe7ffb96f2154e14825d674841ff270,0.0,0.0,0.0,0.0,80.0,2.0,0.0,7.0,6.0,3.0,0.0,0.0,97.0,91.0,67.0,66.0,5.0,4.0,19.0,17.0,6.0,4.0,8.0,1.0,58.0,4.21667,승,평일,Thursday
67e5ab6d0b020281e49f1496,a184d3be0a42e0978644eb62b3b41ff5,1.0,0.0,0.0,0.0,68.0,1.0,0.0,8.0,7.0,2.0,0.0,0.0,84.0,76.0,54.0,51.0,2.0,1.0,22.0,18.0,21.0,9.0,6.0,0.0,42.0,3.82778,패,평일,Thursday
67e5ab6edc4cb4e86e4f9236,eb36555d4d460edc57ee20b782723388,0.0,0.0,0.0,0.0,72.0,0.0,1.0,6.0,4.0,2.0,0.0,0.0,86.0,77.0,66.0,63.0,4.0,1.0,15.0,13.0,4.0,1.0,15.0,2.0,44.0,4.07222,패,평일,Thursday
67e5ab6edc4cb4e86e4f9236,ec02b2c11cebc64f1cc8b6f00cc0a6a1,1.0,0.0,0.0,0.0,95.0,3.0,0.0,10.0,8.0,4.0,0.0,0.0,132.0,116.0,93.0,87.0,7.0,5.0,32.0,24.0,12.0,7.0,8.0,0.0,56.0,4.4833300000000005,승,평일,Thursday
67e5ab7a8493b519783d5946,6ae632b2d3e3396e10e5f14b00aceaf1,0.0,0.0,0.0,0.0,59.0,2.0,0.0,4.0,2.0,0.0,0.0,0.0,98.0,84.0,75.0,70.0,5.0,1.0,17.0,13.0,12.0,6.0,9.0,1.0,44.0,3.47778,패,평일,Thursday
67e5ab7a8493b519783d5946,7ddab8a3a52b45ac81a55872b6c4c1e4,1.0,0.0,0.0,1.0,86.0,3.0,0.0,10.0,8.0,2.0,0.0,0.0,121.0,112.0,79.0,76.0,4.0,3.0,30.0,25.0,12.0,6.0,8.0,0.0,56.0,4.50556,승,평일,Thursday
67e5ab7afd61c02e73e14a00,8b4d8397dd9e1663b44afa174f3f3f50,0.0,0.0,0.0,0.0,102.0,0.0,2.0,3.0,2.0,1.0,0.0,0.0,129.0,119.0,115.0,110.0,2.0,0.0,10.0,7.0,4.0,3.0,7.0,2.0,57.0,4.35,승,평일,Thursday
67e5ab7afd61c02e73e14a00,8ea3578f75e40f882bdebab970799ad2,0.0,0.0,0.0,0.0,61.0,2.0,0.0,4.0,2.0,0.0,0.0,0.0,74.0,64.0,46.0,43.0,3.0,1.0,23.0,19.0,2.0,1.0,8.0,1.0,43.0,3.88889,패,평일,Thursday
67e5ab7c25230b23a6044295,25aa0096537b4ec9bd20b89faad215ea,1.0,0.0,0.0,1.0,82.0,1.0,3.0,3.0,3.0,2.0,0.0,0.0,110.0,95.0,68.0,61.0,6.0,3.0,32.0,28.0,11.0,8.0,10.0,0.0,53.0,4.01111,패,평일,Thursday
67e5ab7c25230b23a6044295,d75dbd6709a1cc8f292d7a4ed1f7de59,0.0,0.0,0.0,0.0,77.0,0.0,0.0,6.0,6.0,4.0,1.0,1.0,116.0,101.0,71.0,67.0,3.0,2.0,36.0,27.0,11.0,7.0,4.0,0.0,47.0,4.36111,승,평일,Thursday
67e5ab7c8728f45aa7cac2e5,1fe576d06311767b29335815d296d07c,0.0,0.0,0.0,0.0,64.0,1.0,0.0,9.0,4.0,3.0,0.0,0.0,81.0,74.0,75.0,70.0,3.0,1.0,3.0,3.0,10.0,6.0,6.0,0.0,47.0,4.0,무,평일,Thursday
67e5ab7c8728f45aa7cac2e5,b2423f3fbe1a8fd6cd1f97c9118dacbd,1.0,0.0,0.0,0.0,70.0,0.0,1.0,4.0,3.0,3.0,0.0,0.0,89.0,78.0,67.0,64.0,6.0,3.0,16.0,11.0,17.0,8.0,9.0,0.0,53.0,3.94444,무,평일,Thursday
67e5ab7e1c2b4a75915eb004,44d731a97c264bf8923e8e7829bf2218,0.0,0.0,0.0,0.0,48.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,68.0,58.0,47.0,44.0,1.0,0.0,17.0,13.0,17.0,9.0,9.0,1.0,33.0,3.37222,패,평일,Thursday
67e5ab7e1c2b4a75915eb004,59d5280b065cddd106fd7bc6fa6826f5,0.0,0.0,0.0,0.0,108.0,1.0,0.0,11.0,10.0,4.0,0.0,0.0,124.0,118.0,118.0,114.0,0.0,0.0,5.0,4.0,4.0,3.0,5.0,1.0,67.0,4.68889,승,평일,Thursday
67e5ab8647e87a2e185bed50,13e03045da1c83bf7fa3d98030c4ee6b,1.0,0.0,0.0,0.0,74.0,2.0,0.0,6.0,4.0,2.0,0.0,0.0,102.0,92.0,77.0,72.0,3.0,2.0,19.0,18.0,16.0,10.0,9.0,0.0,60.0,4.03889,무,평일,Thursday
67e5ab8647e87a2e185bed50,3c2436f8057c6929893a17b36d059cee,0.0,0.0,0.0,0.0,65.0,1.0,3.0,5.0,3.0,2.0,0.0,0.0,70.0,62.0,36.0,33.0,4.0,2.0,17.0,15.0,13.0,8.0,4.0,0.0,40.0,3.99444,무,평일,Thursday
67e5ab86826da688e17c160c,3dec75578a11274db7d669428bd740e9,1.0,0.0,0.0,0.0,67.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,114.0,104.0,83.0,79.0,4.0,3.0,22.0,18.0,7.0,5.0,9.0,2.0,49.0,3.57222,패,평일,Thursday
67e5ab86826da688e17c160c,f2d45ae17d7ba45c09bcc62515af2996,0.0,0.0,0.0,0.0,70.0,2.0,0.0,7.0,6.0,2.0,0.0,0.0,105.0,94.0,69.0,66.0,4.0,2.0,18.0,13.0,9.0,7.0,5.0,0.0,51.0,4.39444,승,평일,Thursday
67e5ab86fada4db80dd53463,36277212e118b4ece503722e2937f764,1.0,0.0,0.0,0.0,88.0,4.0,0.0,8.0,6.0,1.0,0.0,0.0,146.0,134.0,119.0,111.0,2.0,1.0,24.0,22.0,16.0,11.0,11.0,0.0,57.0,4.05,패,평일,Thursday
67e5ab86fada4db80dd53463,ba1bf6a94fb91af11abdafdc24c671b9,1.0,0.0,0.0,1.0,69.0,1.0,1.0,6.0,4.0,2.0,0.0,0.0,101.0,89.0,60.0,54.0,3.0,1.0,35.0,33.0,21.0,10.0,10.0,2.0,43.0,4.21111,승,평일,Thursday
67e5ab871d323d21fc8edf1b,3c09ddb03aa5c3bbfb0c3ad4380b9457,0.0,0.0,0.0,0.0,86.0,6.0,1.0,11.0,9.0,2.0,1.0,1.0,136.0,122.0,92.0,86.0,8.0,4.0,17.0,16.0,9.0,3.0,8.0,2.0,59.0,4.27778,승,평일,Thursday
67e5ab871d323d21fc8edf1b,4de06c3c80c49d7f45a031b1d5c556d3,3.0,1.0,0.0,0.0,56.0,1.0,1.0,3.0,2.0,1.0,0.0,0.0,84.0,69.0,63.0,57.0,1.0,0.0,20.0,12.0,12.0,9.0,15.0,2.0,41.0,3.65,패,평일,Thursday
67e5ab888e131f090cbd29b8,5867b2937ddd8dc37c9c9095187b7827,0.0,0.0,0.0,0.0,94.0,3.0,0.0,8.0,6.0,2.0,0.0,0.0,118.0,113.0,86.0,83.0,6.0,6.0,19.0,18.0,3.0,2.0,8.0,0.0,66.0,4.17222,무,평일,Thursday
67e5ab888e131f090cbd29b8,b7bbbdd5d04f1b1ba529c14c95f51979,2.0,0.0,0.0,0.0,48.0,0.0,0.0,8.0,6.0,2.0,0.0,0.0,70.0,64.0,50.0,49.0,3.0,2.0,13.0,9.0,13.0,3.0,7.0,0.0,34.0,3.88889,무,평일,Thursday
