ouid,foul,injury,redCards,yellowCards,dribble,cornerKick,offsideCount,shootTotal,effectiveShootTotal,goalTotal,shootPenaltyKick,goalPenaltyKick,passTry,passSuccess,shortPassTry,shortPassSuccess,longPassTry,longPassSuccess,throughPassTry,throughPassSuccess,tackleTry,tackleSuccess,blockTry,blockSuccess,possession,averageRating,matchResult,weekend,passSucRt,shortPassSucRt,longPassSucRt,throughPassSucRt,shootAccuracy,tackleSucRt,blockSucRt
00bb68e0fa9a9f7cb1665b32dd8069b7,1.0,0.0,0.0,0.0,64.0,3.0,0.0,3.0,2.0,2.0,0.0,0.0,108.0,92.0,80.0,71.0,8.0,4.0,16.0,16.0,17.0,9.0,5.0,1.0,44.0,3.6333299999999995,패,평일,0.8518518518518519,0.8875,0.5,1.0,0.6666666666666666,0.5294117647058824,0.2
b732daf0b96fc9256262fb36cb72c1bc,0.0,0.0,0.0,0.0,75.0,1.0,1.0,14.0,9.0,5.0,0.0,0.0,97.0,88.0,59.0,56.0,8.0,5.0,26.0,25.0,13.0,8.0,5.0,0.0,56.0,4.5944400000000005,승,평일,0.9072164948453608,0.9491525423728814,0.625,0.9615384615384616,0.6428571428571429,0.6153846153846154,0.0
7fe7ffb96f2154e14825d674841ff270,0.0,0.0,0.0,0.0,80.0,2.0,0.0,7.0,6.0,3.0,0.0,0.0,97.0,91.0,67.0,66.0,5.0,4.0,19.0,17.0,6.0,4.0,8.0,1.0,58.0,4.21667,승,평일,0.9381443298969072,0.9850746268656716,0.8,0.8947368421052632,0.8571428571428571,0.6666666666666666,0.125
a184d3be0a42e0978644eb62b3b41ff5,1.0,0.0,0.0,0.0,68.0,1.0,0.0,8.0,7.0,2.0,0.0,0.0,84.0,76.0,54.0,51.0,2.0,1.0,22.0,18.0,21.0,9.0,6.0,0.0,42.0,3.82778,패,평일,0.9047619047619048,0.9444444444444444,0.5,0.8181818181818182,0.875,0.42857142857142855,0.0
eb36555d4d460edc57ee20b782723388,0.0,0.0,0.0,0.0,72.0,0.0,1.0,6.0,4.0,2.0,0.0,0.0,86.0,77.0,66.0,63.0,4.0,1.0,15.0,13.0,4.0,1.0,15.0,2.0,44.0,4.07222,패,평일,0.8953488372093024,0.9545454545454546,0.25,0.8666666666666667,0.6666666666666666,0.25,0.13333333333333333
ec02b2c11cebc64f1cc8b6f00cc0a6a1,1.0,0.0,0.0,0.0,95.0,3.0,0.0,10.0,8.0,4.0,0.0,0.0,132.0,116.0,93.0,87.0,7.0,5.0,32.0,24.0,12.0,7.0,8.0,0.0,56.0,4.4833300000000005,승,평일,0.8787878787878788,0.9354838709677419,0.7142857142857143,0.75,0.8,0.5833333333333334,0.0
6ae632b2d3e3396e10e5f14b00aceaf1,0.0,0.0,0.0,0.0,59.0,2.0,0.0,4.0,2.0,0.0,0.0,0.0,98.0,84.0,75.0,70.0,5.0,1.0,17.0,13.0,12.0,6.0,9.0,1.0,44.0,3.47778,패,평일,0.8571428571428571,0.9333333333333333,0.2,0.7647058823529411,0.5,0.5,0.1111111111111111
7ddab8a3a52b45ac81a55872b6c4c1e4,1.0,0.0,0.0,1.0,86.0,3.0,0.0,10.0,8.0,2.0,0.0,0.0,121.0,112.0,79.0,76.0,4.0,3.0,30.0,25.0,12.0,6.0,8.0,0.0,56.0,4.50556,승,평일,0.9256198347107438,0.9620253164556962,0.75,0.8333333333333334,0.8,0.5,0.0
8b4d8397dd9e1663b44afa174f3f3f50,0.0,0.0,0.0,0.0,102.0,0.0,2.0,3.0,2.0,1.0,0.0,0.0,129.0,119.0,115.0,110.0,2.0,0.0,10.0,7.0,4.0,3.0,7.0,2.0,57.0,4.35,승,평일,0.9224806201550387,0.9565217391304348,0.0,0.7,0.6666666666666666,0.75,0.2857142857142857
8ea3578f75e40f882bdebab970799ad2,0.0,0.0,0.0,0.0,61.0,2.0,0.0,4.0,2.0,0.0,0.0,0.0,74.0,64.0,46.0,43.0,3.0,1.0,23.0,19.0,2.0,1.0,8.0,1.0,43.0,3.88889,패,평일,0.8648648648648649,0.9347826086956522,0.3333333333333333,0.8260869565217391,0.5,0.5,0.125
