ouid,foul,injury,redCards,yellowCards,dribble,cornerKick,offsideCount,shootTotal,effectiveShootTotal,goalTotal,shootPenaltyKick,goalPenaltyKick,passTry,passSuccess,shortPassTry,shortPassSuccess,longPassTry,longPassSuccess,throughPassTry,throughPassSuccess,tackleTry,tackleSuccess,blockTry,blockSuccess,possession,averageRating,matchResult,hour
9d17a2a674a34e23085d2c4f97634d25,0.0,0.0,0.0,0.0,72.0,2.0,4.0,6.0,6.0,2.0,0.0,0.0,119.0,103.0,93.0,86.0,3.0,1.0,20.0,15.0,6.0,5.0,14.0,1.0,53.0,4.2,무,22
c79e8c2d4851b00f1caf05530ea80fd5,0.0,0.0,0.0,0.0,64.0,4.0,0.0,10.0,6.0,2.0,0.0,0.0,87.0,72.0,41.0,38.0,8.0,1.0,38.0,33.0,15.0,10.0,11.0,1.0,47.0,4.19444,무,22
3a878ea1f97b66e3624e3fe83cce03bb,0.0,0.0,0.0,0.0,78.0,1.0,1.0,6.0,5.0,0.0,0.0,0.0,120.0,105.0,65.0,61.0,5.0,1.0,48.0,43.0,10.0,5.0,9.0,2.0,49.0,3.73889,패,22
8ca81055559c0fcbfc2f385dee15655c,1.0,0.0,0.0,0.0,62.0,1.0,0.0,5.0,2.0,2.0,0.0,0.0,78.0,71.0,52.0,51.0,6.0,4.0,9.0,7.0,15.0,8.0,5.0,0.0,51.0,4.51667,승,22
1ffa394058cd1de2f1fc483d709be90f,0.0,0.0,0.0,0.0,89.0,2.0,0.0,8.0,5.0,2.0,0.0,0.0,128.0,117.0,116.0,109.0,3.0,0.0,9.0,8.0,26.0,11.0,7.0,1.0,62.0,4.34444,승,22
4c0da03b0ca6d573e31e782ea58f92b1,1.0,0.0,0.0,0.0,80.0,2.0,0.0,7.0,6.0,1.0,0.0,0.0,90.0,77.0,58.0,54.0,3.0,2.0,26.0,21.0,15.0,8.0,10.0,1.0,38.0,3.90556,패,22
028728c875e67d3cec2a573fd0b700d5,0.0,0.0,0.0,0.0,90.0,2.0,1.0,11.0,8.0,3.0,0.0,0.0,131.0,111.0,103.0,92.0,5.0,3.0,20.0,15.0,7.0,4.0,7.0,1.0,51.0,4.36111,승,21
3aa7a290f5a62949bd83fe4bda046b07,1.0,0.0,0.0,0.0,59.0,3.0,0.0,9.0,2.0,2.0,0.0,0.0,79.0,57.0,25.0,21.0,8.0,3.0,40.0,28.0,11.0,7.0,12.0,0.0,49.0,3.9944399999999995,패,21
97e198b961d3bb6d2b90f2900bf68279,1.0,0.0,0.0,0.0,65.0,6.0,0.0,5.0,4.0,2.0,0.0,0.0,94.0,79.0,63.0,58.0,11.0,5.0,17.0,16.0,10.0,4.0,9.0,2.0,44.0,3.87778,패,21
b663312c82290f9bdd352c9ec36588fd,1.0,0.0,0.0,0.0,71.0,3.0,0.0,10.0,7.0,3.0,0.0,0.0,89.0,81.0,62.0,59.0,7.0,3.0,14.0,13.0,8.0,5.0,6.0,0.0,56.0,4.25556,승,21
