matchId,ouid,foul,injury,redCards,yellowCards,dribble,cornerKick,offsideCount,shootTotal,effectiveShootTotal,goalTotal,shootPenaltyKick,goalPenaltyKick,passTry,passSuccess,shortPassTry,shortPassSuccess,longPassTry,longPassSuccess,throughPassTry,throughPassSuccess,tackleTry,tackleSuccess,blockTry,blockSuccess,possession,averageRating,matchResult,weekend,weekday
67efa8a7a695760e97fd7ee5,56f931578b228109e8e44599da41ea64,1.0,0.0,0.0,0.0,68.0,3.0,1.0,10.0,9.0,3.0,0.0,0.0,94.0,85.0,67.0,62.0,5.0,3.0,18.0,18.0,11.0,6.0,3.0,0.0,49.0,4.13889,무,평일,Friday
67efab8c0df47d38cecf73fc,56f931578b228109e8e44599da41ea64,0.0,0.0,0.0,0.0,90.0,2.0,0.0,6.0,6.0,4.0,0.0,0.0,146.0,137.0,114.0,110.0,4.0,2.0,23.0,21.0,2.0,2.0,5.0,0.0,56.0,4.32222,승,평일,Friday
67f121739c2e022ac3ad4606,56f931578b228109e8e44599da41ea64,1.0,0.0,0.0,0.0,78.0,1.0,1.0,5.0,4.0,2.0,0.0,0.0,127.0,121.0,102.0,100.0,5.0,3.0,17.0,15.0,5.0,4.0,13.0,2.0,55.0,4.18333,무,주말,Saturday
67f28323527a5d6ef3d0f933,56f931578b228109e8e44599da41ea64,2.0,0.0,0.0,0.0,69.0,1.0,1.0,9.0,6.0,2.0,0.0,0.0,114.0,105.0,91.0,88.0,2.0,1.0,21.0,16.0,7.0,3.0,8.0,0.0,43.0,4.02778,무,주말,Sunday
67f285c2487ac8490477e386,56f931578b228109e8e44599da41ea64,1.0,0.0,0.0,0.0,79.0,3.0,0.0,5.0,4.0,0.0,0.0,0.0,136.0,123.0,105.0,99.0,3.0,1.0,26.0,22.0,14.0,8.0,7.0,1.0,54.0,3.38889,패,주말,Sunday
67f288c8c762f5782a9565b0,56f931578b228109e8e44599da41ea64,2.0,0.0,0.0,0.0,81.0,1.0,0.0,5.0,4.0,2.0,0.0,0.0,132.0,122.0,105.0,99.0,7.0,5.0,18.0,16.0,12.0,8.0,10.0,2.0,52.0,4.43889,승,주말,Sunday
67f6383df7bc40b854fbd9a2,56f931578b228109e8e44599da41ea64,1.0,0.0,0.0,0.0,55.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,86.0,76.0,66.0,61.0,4.0,2.0,14.0,11.0,8.0,4.0,11.0,1.0,42.0,3.76111,패,평일,Wednesday
67f63adfb4b099232477556f,56f931578b228109e8e44599da41ea64,1.0,0.0,0.0,0.0,80.0,4.0,0.0,10.0,5.0,3.0,0.0,0.0,129.0,119.0,96.0,92.0,6.0,4.0,19.0,19.0,11.0,8.0,8.0,1.0,55.0,4.33333,승,평일,Wednesday
67f63d9b99536a2a2e0d9cc7,56f931578b228109e8e44599da41ea64,3.0,0.0,1.0,1.0,90.0,1.0,0.0,9.0,9.0,5.0,0.0,0.0,129.0,123.0,98.0,97.0,4.0,2.0,22.0,21.0,5.0,4.0,10.0,4.0,60.0,4.40556,승,평일,Wednesday
67f6405be17f2e30c25fb815,56f931578b228109e8e44599da41ea64,2.0,0.0,0.0,1.0,78.0,2.0,1.0,4.0,4.0,0.0,0.0,0.0,127.0,122.0,104.0,102.0,3.0,1.0,17.0,16.0,5.0,2.0,9.0,0.0,50.0,3.11667,패,평일,Wednesday
67f76cc8726b1eb68dab7703,56f931578b228109e8e44599da41ea64,0.0,0.0,0.0,0.0,98.0,0.0,1.0,3.0,2.0,2.0,0.0,0.0,164.0,152.0,127.0,121.0,4.0,3.0,27.0,23.0,2.0,1.0,10.0,1.0,63.0,4.20556,무,평일,Thursday
