matchId,matchDate,matchType,ouid,nickname,matchResult,possession,averageRating,dribble,cornerKick,offsideCount,shootTotal,effectiveShootTotal,goalTotal,shootPenaltyKick,goalPenaltyKick,passTry,passSuccess,shortPassTry,shortPassSuccess,longPassTry,longPassSuccess,throughPassTry,throughPassSuccess,tackleTry,tackleSuccess,blockTry,blockSuccess,goalTime,x,y,type,result,spId,assist,assistSpId,hitPost,inPenalty
67e12c2ea92522ba15ba195b,2025-03-24T09:59:29,50,9b4c4378709c1b7d7ce26115062fdf3f,목행시민,승,79,4.03889,28,2,0,6,3,1,0,0,38,35,25,22,3,3,6,6,2,2,1,0,279,0.8718214631080627,0.394859105348587,6,2,815241637,True,832194765,False,True
67e12c2ea92522ba15ba195b,2025-03-24T09:59:29,50,9b4c4378709c1b7d7ce26115062fdf3f,목행시민,승,79,4.03889,28,2,0,6,3,1,0,0,38,35,25,22,3,3,6,6,2,2,1,0,697,0.8681085109710693,0.4220057427883148,1,1,832194765,True,832232656,False,True
67e12c2b166754a5e591762f,2025-03-24T09:58:02,50,6e865245fbbbf848e1bd4c560fa25332,AdelmarZanetti,승,68,3.92778,16,1,0,3,1,1,0,0,26,25,22,21,0,0,1,1,2,2,0,0,253,0.8763780593872,0.5294212102890015,1,2,821023174,False,-1,False,True
67e12c2b166754a5e591762f,2025-03-24T09:58:02,50,6e865245fbbbf848e1bd4c560fa25332,AdelmarZanetti,승,68,3.92778,16,1,0,3,1,1,0,0,26,25,22,21,0,0,1,1,2,2,0,0,338,0.827898383140564,0.647153913974762,1,2,268005589,True,825199564,False,False
67e12c2b166754a5e591762f,2025-03-24T09:58:02,50,6e865245fbbbf848e1bd4c560fa25332,AdelmarZanetti,승,68,3.92778,16,1,0,3,1,1,0,0,26,25,22,21,0,0,1,1,2,2,0,0,871,0.8904106616973877,0.4882012009620667,6,3,821023174,True,827052241,False,True
67e12c19ff176da184fb0a57,2025-03-24T09:58:59,50,f73321f447e6b80431858219d782481d,메시형공줘,승,55,4.37222,18,0,0,3,3,2,0,0,22,21,17,16,0,0,3,3,0,0,2,0,1210,0.936962902545929,0.4387548863887787,2,3,832158023,True,802010535,False,True
67e12c19ff176da184fb0a57,2025-03-24T09:58:59,50,f73321f447e6b80431858219d782481d,메시형공줘,승,55,4.37222,18,0,0,3,3,2,0,0,22,21,17,16,0,0,3,3,0,0,2,0,793,0.94102793931961,0.4556580483913422,1,3,825176580,True,832158023,False,True
67e12c19ff176da184fb0a57,2025-03-24T09:58:59,50,f73321f447e6b80431858219d782481d,메시형공줘,승,55,4.37222,18,0,0,3,3,2,0,0,22,21,17,16,0,0,3,3,0,0,2,0,661,0.8796437382698059,0.6241258978843689,2,1,810194765,True,832158023,False,True
67e12c19ff176da184fb0a57,2025-03-24T09:58:59,50,139223e402afd7f9c4e4a4a74f8b479d,핍진,패,45,3.22778,19,0,0,2,1,0,0,0,27,26,24,24,1,0,0,0,2,1,5,1,376,0.7730662226676941,0.5782716274261475,2,1,268191208,True,826212194,False,False
67e12c19ff176da184fb0a57,2025-03-24T09:58:59,50,139223e402afd7f9c4e4a4a74f8b479d,핍진,패,45,3.22778,19,0,0,2,1,0,0,0,27,26,24,24,1,0,0,0,2,1,5,1,500,0.6748299598693848,0.6300627589225769,2,2,826212194,False,-1,False,False
